"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Sep 02 20:22:50 ICT 2023","Sat Sep 02 20:22:50 ICT 2023","13","Suite1","Nopackage","TestXray","TestXray","test2","test2",""
"passed","Sat Sep 02 20:22:49 ICT 2023","Sat Sep 02 20:22:49 ICT 2023","38","Suite1","Nopackage","TestXray","TestXray","test","test",""
